Nhóm hàng,Nhóm ngành,Nhóm sản phẩm cấp 1,Nhóm sản phẩm cấp 2,Mã hàng,Tên hàng,SL Bán,Doanh thu,SL Trả,Giá trị trả,Doanh thu thuần,Tổng giá vốn,Lợi nhuận,Tỷ suất
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H105GL,Pijama lụa tuyết TDQD HX cổ tròn túi thêu ghi L,16,2384474,6,-824000,1560474,1496736,63738, 4.08% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H105GXL,Pijama lụa tuyết TDQD HX cổ tròn túi thêu ghi XL,4,617699,4,-556000,61699,0,61699, 100.00% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,AH088HPM,Áo pj lụa HX cộc kẻ sọc chữ secret victorya hồng phấn M,1,125000,0,0,125000,68000,57000, 45.60% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,AH087XDM,Áo PJ lụa HX cộc tim kẻ chữ bambi xanh đậm M,1,125000,0,0,125000,68000,57000, 45.60% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H088HPM,Bộ PJ lụa HX TDQD kẻ sọc chữ secret victorya hồng phấn M,1,197397,0,0,197397,141000,56397, 28.57% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ02TS,Bộ Pijama TDQD HX màu trắng họa tiết hoa S,2,324354,0,0,324354,275666,48688, 15.01% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H105XDM,Pijama lụa tuyết TDQD HX cổ tròn túi thêu xanh đậm M,12,1854267,6,-910000,944267,902634,41633, 4.41% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ133HPXL,Bộ Pijama TDQD lụa HX hình quả dâu kẻ sọc hồng phấn XL,1,195000,0,0,195000,165421,29579, 15.17% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ133VL,Bộ Pijama TDQD lụa HX hình quả dâu kẻ sọc vàng L,1,193000,0,0,193000,165421,27579, 14.29% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H120VXL,Bộ Pijama TDQD lụa trơn HX cổ trắng vàng XL,5,821480,0,0,821480,794755,26725, 3.25% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H108GXL,Pijama lụa tuyết TDQD HX bèo nhún ghi XL,15,2254802,3,-450000,1804802,1779336,25466, 1.41% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ133XNM,Bộ Pijama TDQD lụa HX hình quả dâu kẻ sọc xanh nhạt M,2,355031,0,0,355031,330842,24189, 6.81% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ92HTIXL,Bộ Pijama TDQD lụa viền ren trắng HX màu hồng tím XL,2,344000,0,0,344000,321630,22370, 6.50% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ133XNXL,Bộ Pijama TDQD lụa HX hình quả dâu kẻ sọc xanh nhạt XL,3,737682,1,-385000,352682,330842,21840, 6.19% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ121M,Bộ Pijama TDQD lụa HX họa tiết hình trái tim màu trắng M,1,212500,0,0,212500,191200,21300, 10.02% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ116DEM,Bộ Pijama TDQD lụa HX màu đen M,1,215000,0,0,215000,195529,19471, 9.06% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ125XLAL,Bộ pijama TDQD HX hình lá màu xanh lá L,1,179969,0,0,179969,165084,14885, 8.27% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H129BHL,Bộ PJ lụa tuyết HX TDQD viền đỏ chữ  trái tim đỏ be hồng L,21,4224193,3,-477000,3747193,3737369,9824, 0.26% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,TLH078XNL,TL Bộ H078XNM bị lỗi vải,3,231271,2,-38624,192647,183805,8842, 4.59% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H105HXL,Pijama lụa tuyết TDQD HX cổ tròn túi thêu hồng tím XL,1,215000,0,0,215000,207000,8000, 3.72% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H105HM,Pijama lụa tuyết TDQD HX cổ tròn túi thêu hồng tím M,1,226599,0,0,226599,224822,1777, 0.78% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,SH139TL,Bộ PJ lụa satin TDQD HX hồng hạc trắng L( tư vấn size cho kh lên 1size),1,445062,1,-445062,0,0,0, ---   
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H128M,Bộ mẫu trơn hồng cam M,1,215000,0,0,215000,238644,-23644, -11.00% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H129BHM,Bộ PJ lụa tuyết HX TDQD viền đỏ chữ  trái tim đỏ be hồng M,14,2676191,4,-636000,2040191,2067570,-27379, -1.34% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,TLPJ94DES,Bộ Pijama TDQD lụa HX màu đen S,1,215000,0,0,215000,245529,-30529, -14.20% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,TLH078XNM,TL Bộ H078XNM bị lỗi vải,4,430521,2,-92874,337647,372610,-34963, -10.35% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ125VL,Bộ pijama TDQD HX hình lá màu vàng L,1,127335,0,0,127335,165084,-37749, -29.65% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H130HCXL,Bộ PJ lụa tuyết TDQD cổ viền ren trắng chuột chũi hồng cam XL,4,697262,3,-540306,156956,211548,-54592, -34.78% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H130XNXL,Bộ PJ lụa tuyết TDQD cổ viền ren trắng chuột chũi xanh nhạt XL,2,302500,1,-159000,143500,209485,-65985, -45.98% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H120HTOL,Bộ Pijama TDQD lụa trơn HX cổ trắng hồng tôm L,1,169180,0,0,169180,238644,-69464, -41.06% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H120XDXL,Bộ Pijama TDQD lụa trơn HX cổ hồng xanh đậm XL,1,80000,0,0,80000,158749,-78749, -98.44% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H120GM,Bộ Pijama TDQD lụa trơn HX cổ hồng ghi M,13,1994778,2,-369897,1624881,1711138,-86257, -5.31% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H120GL,Bộ Pijama TDQD lụa trơn HX cổ hồng ghi L,14,2059342,1,-139000,1920342,2022254,-101912, -5.31% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H120HTOM,Bộ Pijama TDQD lụa trơn HX cổ trắng hồng tôm M,2,372667,0,0,372667,477288,-104621, -28.07% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H129BHXL,Bộ PJ lụa tuyết HX TDQD viền đỏ chữ  trái tim đỏ be hồng XL,10,1801620,2,-318000,1483620,1669799,-186179, -12.55% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H130HCL,Bộ PJ lụa tuyết TDQD cổ viền ren trắng chuột chũi hồng cam L,19,3799556,3,-603000,3196556,3384768,-188212, -5.89% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H128HCXL,Bộ PJ lụa tuyết HX túi trái tim  hồng cam XL,8,1126606,5,-795000,331606,599941,-268335, -80.92% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H120XDL,Bộ Pijama TDQD lụa trơn HX cổ hồng xanh đậm L,12,1593878,0,0,1593878,1904988,-311110, -19.52% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H105GM,Pijama lụa tuyết TDQD HX cổ tròn túi thêu ghi M,10,1344596,6,-1104000,240596,604651,-364055, -151.31% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H120XDM,Bộ Pijama TDQD lụa trơn HX cổ hồng xanh đậm M,14,1840121,0,0,1840121,2222486,-382365, -20.78% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H128HC2XL,Bộ PJ lụa tuyết HX túi trái tim  hồng cam XXL,8,1135621,0,0,1135621,1599839,-464218, -40.88% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H130XNM,Bộ PJ lụa tuyết TDQD cổ viền ren trắng chuột chũi xanh nhạt M,15,2546758,2,-318000,2228758,2723279,-494521, -22.19% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H130HCM,Bộ PJ lụa tuyết TDQD cổ viền ren trắng chuột chũi hồng cam M,15,2485052,2,-318000,2167052,2727595,-560543, -25.87% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H130XNL,Bộ PJ lụa tuyết TDQD cổ viền ren trắng chuột chũi xanh nhạt L,18,3110316,2,-381000,2729316,3351728,-622412, -22.80% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H128HCL,Bộ PJ lụa tuyết HX túi trái tim  hồng cam L,25,4077775,3,-477000,3600775,4399559,-798784, -22.18% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,H128HCM,Bộ PJ lụa tuyết HX túi trái tim  hồng cam M,33,5218220,4,-636000,4582220,5799420,-1217200, -26.56% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ07XDM,Bộ Pijama TDQD lụa họa tiết chấm bi màu xanh đậm size M,6,2673364,0,0,2673364,1095794,1577570, 59.01% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ07XDL,Bộ Pijama TDQD lụa họa tiết chấm bi màu xanh đậm size L,3,1407838,0,0,1407838,546644,861194, 61.17% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ07TM,Bộ Pijama TDQD lụa họa tiết chấm bi màu trắng size M,3,1350000,0,0,1350000,554494,795506, 58.93% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ07XDXL,Bộ Pijama TDQD lụa họa tiết chấm bi màu xanh đậm size XL,3,1334118,0,0,1334118,541555,792563, 59.41% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ09TM,Bộ Pijama TDQD lụa họa tiết cây xương rồng trắng size M,2,860000,1,-430000,430000,162063,267937, 62.31% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ07TL,Bộ Pijama TDQD lụa họa tiết chấm bi màu trắng size L,1,450000,0,0,450000,184798,265202, 58.93% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ09TL,Bộ Pijama TDQD lụa họa tiết cây xương rồng trắng size L,1,410400,0,0,410400,167319,243081, 59.23% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ09HPM,Bộ Pijama TDQD lụa họa tiết cây xương rồng hồng phấn size M,1,389263,0,0,389263,175955,213308, 54.80% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ06HPM,Bộ Pijama TDQD lụa HX hình thiên nga màu hồng phấn M,44,15830701,1,-365000,15465701,6709946,8755755, 56.61% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ06HPL,Bộ Pijama TDQD lụa HX hình thiên nga màu hồng phấn L,48,16982275,2,-770000,16212275,7751367,8460908, 52.19% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ75XLUM,Bộ Pijama TDQD lụa HX màu xanh lục họa tiết hoa M,29,11589788,0,0,11589788,4629479,6960309, 60.06% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ07XDM,Bộ Pijama TDQD lụa họa tiết chấm bi màu xanh đậm size M,26,11360216,0,0,11360216,4414291,6945925, 61.14% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ06XDL,Bộ Pijama TDQD lụa HX hình thiên nga màu xanh đậm L,38,13726288,4,-1405000,12321288,5604547,6716741, 54.51% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ75XLUL,Bộ Pijama TDQD lụa HX màu xanh lục họa tiết hoa L,34,13578144,7,-2876772,10701372,4012168,6689204, 62.51% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ28HTIM,Bộ Pijama TDQD lụa HX màu hồng tím M,32,12523545,5,-1937980,10585565,4284024,6301541, 59.53% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ07TM,Bộ Pijama TDQD lụa họa tiết chấm bi màu trắng size M,30,12819675,5,-2209150,10610525,4394830,6215695, 58.58% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ06XDM,Bộ Pijama TDQD lụa HX hình thiên nga màu xanh đậm M,31,11143198,2,-637799,10505399,4546188,5959211, 56.73% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ11XLUL,Bộ Pijama TDQD lụa HX hình con thỏ màu xanh lục L,33,11945938,4,-1472898,10473040,4839677,5633363, 53.79% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ11XLUM,Pijama lụa dài tay HX hình con thỏ màu xanh lục M,26,9652807,1,-385000,9267807,3947645,5320162, 57.40% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ06XNM,Bộ Pijama TDQD lụa HX hình thiên nga màu xanh nhạt M,29,10334577,3,-1137033,9197544,4098295,5099249, 55.44% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ28DDL,Bộ Pijama TDQD lụa HX màu đỏ đậm L,22,8867265,0,0,8867265,3939638,4927627, 55.57% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ75XLUXL,Bộ Pijama TDQD lụa HX màu xanh lục họa tiết hoa XL,22,8618671,3,-1211000,7407671,2845832,4561839, 61.58% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ06HPXL,Bộ Pijama TDQD lụa HX hình thiên nga màu hồng phấn XL,27,9572466,3,-1020500,8551966,4068480,4483486, 52.43% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ06XDXL,Bộ Pijama TDQD lụa HX hình thiên nga màu xanh đậm XL,26,9518368,5,-1818697,7699671,3438978,4260693, 55.34% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ28XDL,Bộ Pijama TDQD lụa HX màu xanh đậm L,18,7204249,0,0,7204249,3147526,4056723, 56.31% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ06HPS,Bộ Pijama TDQD lụa HX hình thiên nga màu hồng phấn S,23,8306740,3,-1052514,7254226,3362080,3892146, 53.65% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ11XLUS,Pijama lụa dài tay HX hình con thỏ màu xanh lục S,23,8400714,3,-1175000,7225714,3378241,3847473, 53.25% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ28DDM,Bộ Pijama TDQD lụa HX màu đỏ đậm M,19,7660350,3,-1225500,6434850,2643105,3791745, 58.93% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ28DDS,Bộ Pijama TDQD lụa HX màu đỏ đậm S,14,5839518,0,0,5839518,2410146,3429372, 58.73% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ81VL,Pijama lụa dài HX vàng họa tiết hoa trắng L,17,6657944,4,-1538608,5119336,1754874,3364462, 65.72% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ83HPM,Bộ Pijama TDQD lụa HX hình cô gái màu hồng phấn M,21,7532776,4,-1447117,6085659,2722014,3363645, 55.27% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ28XDS,Bộ Pijama TDQD lụa HX màu xanh đậm S,14,5564896,0,0,5564896,2323917,3240979, 58.24% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ92DDM,Bộ Pijama TDQD lụa viền ren trắng HX màu đỏ đậm M,14,5655805,0,0,5655805,2505803,3150002, 55.70% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ28HTIL,Bộ Pijama TDQD lụa HX màu hồng tím L,18,6967532,3,-1204000,5763532,2643273,3120259, 54.14% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ11XLUXL,Bộ Pijama TDQD lụa HX hình con thỏ màu xanh lục XL,17,6204459,1,-385000,5819459,2741617,3077842, 52.89% 
ĐỒ BỘ MẶC NHÀ >> ĐỒ PIJAMA LỤA >> PIJAMA TDQD,ĐỒ BỘ MẶC NHÀ,ĐỒ PIJAMA LỤA,PIJAMA TDQD,PJ06XNL,Bộ Pijama TDQD lụa HX hình thiên nga màu xanh nhạt L,15,5411225,0,0,5411225,2384331,3026894, 55.94% 
