Nhóm hàng,Nhóm ngành,Nhóm sản phẩm cấp 1,Nhóm sản phẩm cấp 2,Mã hàng,Tên hàng,SL Bán,Doanh thu,SL Trả,Giá trị trả,Doanh thu thuần,Tổng giá vốn,Lợi nhuận,Tỷ suất
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S099DD32,Bộ lót lụa có gọng đệm mỏng trơn viền ren đỏ đậm 32,1,350000,0,0,350000,114516,235484, 67.28% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S072XNC34,bộ lót len tăm nơ ngực không gọng đệm vừa xanh ngọc 34,3,560664,0,0,560664,326739,233925, 41.72% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,AN31XD32B,Bộ lót ren có gọng không đệm màu xanh đậm size 32B,1,345000,0,0,345000,111934,233066, 67.56% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S041zDE32,Bộ lót ren dây kép TMĐT không gọng đệm vừa đen 32,2,398419,0,0,398419,165486,232933, 58.46% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S099DT34,Bộ lót lụa có gọng đệm mỏng trơn viền ren đỏ tươi 34,1,350000,0,0,350000,117403,232597, 66.46% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S099DT36,Bộ lót lụa có gọng đệm mỏng trơn viền ren đỏ tươi 36,1,350000,0,0,350000,117403,232597, 66.46% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S115XD38,Bộ lót ren không gọng đệm dày dây kép viền ren xanh đậm 38,1,380000,0,0,380000,147513,232487, 61.18% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S127BE38,Bộ lót ren ô đệm dày không gọng be 38,1,350000,0,0,350000,117803,232197, 66.34% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S130HP38,Bộ lót ren xuyên thấu có gọng quai ren to hồng phấn 38,1,360000,0,0,360000,127927,232073, 64.46% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S054DT38,Bộ lót đệm vừa không gọng hình cherry 38,2,420000,0,0,420000,188184,231816, 55.19% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,S091XR34,Bộ lót không gọng không đệm cổ V viền ren dưới ngực xanh riêu 34,1,400000,0,0,400000,171200,228800, 57.20% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,Am123DE32,Bộ lót su không gọng đệm dày nâng ngực đen 32,1,350000,0,0,350000,122186,227814, 65.09% 
ĐỒ LÓT >> Bộ lót,ĐỒ LÓT,Bộ lót,,AM107DE34,Bộ lót ren không gọng đệm mỏng màu đen 34,2,448667,0,0,448667,221284,227383, 50.68% 
